"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
uni_id,rotem,,text,uni_id,,,,,,,,,,,,,
patient_id,rotem,,text,patient_id,,,,,,,,,,,,,
sample_id,rotem,,text,sample_id,,,,,,,,,,,,,
patient_name,rotem,,text,patient_name,,,,,,y,,,,,,,
lot_1,rotem,,text,lot_1,,,,,,,,,,,,,
rotem_start_time,rotem,,text,rotem_start_time,,,,,,,,,,,,,
rotem_run_time,rotem,,text,rotem_run_time,,,,,,,,,,,,,
start_time_fibtem_c,rotem,,text,start_time_fibtem_c,,,,,,,,,,,,,
start_time_extem_c,rotem,,text,start_time_extem_c,,,,,,,,,,,,,
start_time_intem_c,rotem,,text,start_time_intem_c,,,,,,,,,,,,,
start_time_heptem_c,rotem,,text,start_time_heptem_c,,,,,,,,,,,,,
start_time_aptem_c,rotem,,text,start_time_aptem_c,,,,,,,,,,,,,
run_time_fibtem_c,rotem,,text,run_time_fibtem_c,,,,,,,,,,,,,
run_time_extem_c,rotem,,text,run_time_extem_c,,,,,,,,,,,,,
run_time_intem_c,rotem,,text,run_time_intem_c,,,,,,,,,,,,,
run_time_heptem_c,rotem,,text,run_time_heptem_c,,,,,,,,,,,,,
run_time_aptem_c,rotem,,text,run_time_aptem_c,,,,,,,,,,,,,
ct_fibtem_c,rotem,,text,ct_fibtem_c,,,number,,,,,,,,,,
ct_extem_c,rotem,,text,ct_extem_c,,,number,,,,,,,,,,
ct_intem_c,rotem,,text,ct_intem_c,,,number,,,,,,,,,,
ct_heptem_c,rotem,,text,ct_heptem_c,,,number,,,,,,,,,,
ct_aptem_c,rotem,,text,ct_aptem_c,,,number,,,,,,,,,,
a5_fibtem_c,rotem,,text,a5_fibtem_c,,,number,,,,,,,,,,
a5_extem_c,rotem,,text,a5_extem_c,,,number,,,,,,,,,,
a5_intem_c,rotem,,text,a5_intem_c,,,number,,,,,,,,,,
a5_heptem_c,rotem,,text,a5_heptem_c,,,number,,,,,,,,,,
a5_aptem_c,rotem,,text,a5_aptem_c,,,number,,,,,,,,,,
a10_fibtem_c,rotem,,text,a10_fibtem_c,,,number,,,,,,,,,,
a10_extem_c,rotem,,text,a10_extem_c,,,number,,,,,,,,,,
a10_intem_c,rotem,,text,a10_intem_c,,,number,,,,,,,,,,
a10_heptem_c,rotem,,text,a10_heptem_c,,,number,,,,,,,,,,
a10_aptem_c,rotem,,text,a10_aptem_c,,,number,,,,,,,,,,
a20_fibtem_c,rotem,,text,a20_fibtem_c,,,number,,,,,,,,,,
a20_extem_c,rotem,,text,a20_extem_c,,,number,,,,,,,,,,
a20_intem_c,rotem,,text,a20_intem_c,,,number,,,,,,,,,,
a20_heptem_c,rotem,,text,a20_heptem_c,,,number,,,,,,,,,,
a20_aptem_c,rotem,,text,a20_aptem_c,,,number,,,,,,,,,,
a30_fibtem_c,rotem,,text,a30_fibtem_c,,,number,,,,,,,,,,
a30_extem_c,rotem,,text,a30_extem_c,,,number,,,,,,,,,,
a30_intem_c,rotem,,text,a30_intem_c,,,number,,,,,,,,,,
a30_heptem_c,rotem,,text,a30_heptem_c,,,number,,,,,,,,,,
a30_aptem_c,rotem,,text,a30_aptem_c,,,number,,,,,,,,,,
cft_fibtem_c,rotem,,text,cft_fibtem_c,,,number,,,,,,,,,,
cft_extem_c,rotem,,text,cft_extem_c,,,number,,,,,,,,,,
cft_intem_c,rotem,,text,cft_intem_c,,,number,,,,,,,,,,
cft_heptem_c,rotem,,text,cft_heptem_c,,,number,,,,,,,,,,
cft_aptem_c,rotem,,text,cft_aptem_c,,,number,,,,,,,,,,
mcf_fibtem_c,rotem,,text,mcf_fibtem_c,,,number,,,,,,,,,,
mcf_extem_c,rotem,,text,mcf_extem_c,,,number,,,,,,,,,,
mcf_intem_c,rotem,,text,mcf_intem_c,,,number,,,,,,,,,,
mcf_heptem_c,rotem,,text,mcf_heptem_c,,,number,,,,,,,,,,
mcf_aptem_c,rotem,,text,mcf_aptem_c,,,number,,,,,,,,,,
li30_fibtem_c,rotem,,text,li30_fibtem_c,,,number,,,,,,,,,,
li30_extem_c,rotem,,text,li30_extem_c,,,number,,,,,,,,,,
li30_intem_c,rotem,,text,li30_intem_c,,,number,,,,,,,,,,
li30_heptem_c,rotem,,text,li30_heptem_c,,,number,,,,,,,,,,
li30_aptem_c,rotem,,text,li30_aptem_c,,,number,,,,,,,,,,
li45_fibtem_c,rotem,,text,li45_fibtem_c,,,number,,,,,,,,,,
li45_extem_c,rotem,,text,li45_extem_c,,,number,,,,,,,,,,
li45_intem_c,rotem,,text,li45_intem_c,,,number,,,,,,,,,,
li45_heptem_c,rotem,,text,li45_heptem_c,,,number,,,,,,,,,,
li45_aptem_c,rotem,,text,li45_aptem_c,,,number,,,,,,,,,,
li60_fibtem_c,rotem,,text,li60_fibtem_c,,,number,,,,,,,,,,
li60_extem_c,rotem,,text,li60_extem_c,,,number,,,,,,,,,,
li60_intem_c,rotem,,text,li60_intem_c,,,number,,,,,,,,,,
li60_heptem_c,rotem,,text,li60_heptem_c,,,number,,,,,,,,,,
li60_aptem_c,rotem,,text,li60_aptem_c,,,number,,,,,,,,,,
ml_fibtem_c,rotem,,text,ml_fibtem_c,,,number,,,,,,,,,,
ml_extem_c,rotem,,text,ml_extem_c,,,number,,,,,,,,,,
ml_intem_c,rotem,,text,ml_intem_c,,,number,,,,,,,,,,
ml_heptem_c,rotem,,text,ml_heptem_c,,,number,,,,,,,,,,
ml_aptem_c,rotem,,text,ml_aptem_c,,,number,,,,,,,,,,
possible_cardiac,rotem,,text,possible_cardiac,,,,,,,,,,,,,
fibtem_image,rotem,,file,"fibtem image",,,,,,,,,,,,,
aptem_image,rotem,,file,"aptem image",,,,,,,,,,,,,
intem_image,rotem,,file,"intem image",,,,,,,,,,,,,
heptem_image,rotem,,file,"heptem image",,,,,,,,,,,,,
extem_image,rotem,,file,"extem image",,,,,,,,,,,,,
